left_hip_angle,right_hip_angle,confidence,feedback,label
175.8834160841909,175.81111963884655,175.84726786151873,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.03592136494643,175.84615183723338,175.9410366010899,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.89188693467872,175.4168749981752,175.65438096642697,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.89986178333194,175.37174803066077,175.63580490699636,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.9999608142854,175.39255573798604,175.69625827613572,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.11756847085385,175.16984511173507,175.64370679129445,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.79589229192345,175.46057620584295,175.6282342488832,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.53763676243753,175.79496767490383,175.6663022186707,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.59197428503518,175.98549920389354,175.78873674446436,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.88966254785052,176.03383855841153,175.96175055313103,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.97475322416537,175.91933534613366,175.9470442851495,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.38524175975684,176.26441507877763,175.82482841926725,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.413020271807,176.23273206006706,175.82287616593703,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.55012615307106,176.0807259730664,175.81542606306874,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.14021211366153,176.76559598456268,175.9529040491121,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.3572577408497,176.44429624903057,175.90077699494014,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.3032754621613,176.68447189053214,175.9938736763467,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.5943231389968,176.1298868979123,175.86210501845454,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.10551768680398,176.19589540749956,175.65070654715177,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
174.95271234745533,176.98518300945008,175.9689476784527,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.02430662220695,176.76243915534914,175.89337288877806,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.26463214481103,176.71033832938983,175.98748523710043,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.98068990196992,176.07630116731568,176.0284955346428,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.51535117169942,175.4454139665457,175.98038256912255,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.80438465006202,175.48323832230028,176.14381148618116,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.16270947912653,175.7859430111525,175.97432624513954,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.2605200916386,175.60937145283611,175.93494577223737,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.9335752975904,175.36676262221692,175.65016895990368,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.85330277408204,175.31252873570966,175.58291575489585,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.81630624662048,175.3690794800017,175.59269286331107,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.91815159915373,175.45891531441754,175.68853345678565,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.7188167683996,175.5003539009939,175.60958533469676,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.52149289834412,175.44920373854637,175.48534831844523,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.4044326284523,176.38703118922888,175.8957319088406,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.0399796840395,176.9547123993848,175.99734604171215,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.15968988396847,176.88313100931768,176.02141044664307,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.1464349191809,176.8852614538788,176.01584818652987,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.22918123432402,176.87912516837912,176.05415320135157,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.3562425499462,176.8608427367817,176.10854264336393,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.35218741855243,176.90947016201312,176.13082879028278,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.54551400933218,176.89075169323516,176.21813285128366,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.80132462407303,176.8235664436156,176.3124455338443,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.17465124561255,176.86493277212907,176.0197920088708,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.9203108508268,172.72539660951674,174.32285373017177,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.91427070231484,174.84210427101797,175.8781874866664,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
178.19984914591402,175.2579981815085,176.72892366371127,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
178.69709693176557,175.9070576061708,177.3020772689682,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.55730513796289,177.51858947581638,177.03794730688963,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.0684022295687,176.7725449786581,175.9204736041134,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.1766471513709,179.71298275491733,177.94481495314412,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.73580306842067,178.71859523640302,178.22719915241186,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.88983682930078,177.74437734465653,177.81710708697864,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.94583432419017,178.08688468749872,178.01635950584443,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
178.2116110108194,176.74656129175796,177.4790861512887,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.52777999654896,174.96618197527448,176.2469809859117,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.01963713362184,175.1127242098947,176.06618067175827,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.04295520532327,174.3319166322174,175.68743591877035,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.6499299171259,174.2487487611013,175.94933933911358,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.50566689121575,175.40336744056341,176.45451716588957,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.49773000405196,175.51757466330423,176.5076523336781,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.86804061453537,175.18995040741234,176.52899551097386,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
178.03873381819244,175.92486278458279,176.9817983013876,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.98579613651864,178.75171623555246,177.86875618603557,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
178.2193965636832,179.3163513697478,178.7678739667155,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
178.36811738668996,178.97555915799356,178.67183827234174,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.08624737336245,177.778537745596,177.43239255947924,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.18288816211106,177.37770214118544,177.28029515164826,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.90854704476342,179.84385188684158,177.8761994658025,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
174.64437079281728,179.05697389085216,176.85067234183472,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.3837112701766,178.5584998612491,176.97110556571283,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.8410597071321,178.30435214876314,177.07270592794762,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.9935070318638,177.7253282721044,176.8594176519841,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.8597482666105,178.76067092635316,177.31020959648183,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.49527216151552,178.65669579546787,177.5759839784917,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.9400351526039,177.63307459310798,177.78655487285596,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.85515434708051,177.1848947547183,177.5200245508994,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.36328433902358,177.3712161889896,177.3672502640066,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.47210388321673,176.4361649395622,176.95413441138948,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
